,name,artist,release_date,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence
43,What I'm Looking For,Brendan Benson,2005-03-22,0,0.524,0.00288,0.524,0.752,0.000182,0.132,-9.341,0.036,134.11,4,0.685
44,"Mahna, Mahna",Cake,2007-11-13,46,0.742,0.213,0.742,0.483,0.471,0.0733,-11.369,0.155,89.883,4,0.638
45,Friday I'm In Love,The Cure,1992-04-21,0,0.526,0.00126,0.526,0.763,6.75e-05,0.359,-12.663,0.0341,136.205,4,0.514
46,Creep,Radiohead,1993-04-23,0,0.532,0.00563,0.532,0.344,0.000473,0.115,-13.057,0.035,91.834,4,0.126
47,Young Chasers,Circa Waves,2014-01-01,0,0.413,0.000561,0.413,0.897,0.00354,0.224,-3.312,0.0452,91.939,4,0.34
48,Class Historian,BRONCHO,2014-09-16,0,0.571,0.23,0.571,0.975,0.8,0.397,-4.097,0.0515,158.175,4,0.966
49,Swimming Pool Blues,Miniature Tigers,2014-06-13,0,0.415,0.00613,0.415,0.812,6.68e-06,0.0988,-5.42,0.0377,160.052,4,0.388
50,Giraffe,Miniature Tigers,2008-09-16,16,0.695,0.159,0.695,0.621,0.0,0.43,-3.538,0.0636,125.89,4,0.787
51,New Slang,The Shins,2001-06-19,0,0.669,0.605,0.669,0.389,0.16,0.0905,-11.547,0.0306,130.015,4,0.649
52,Australia,The Shins,2007-01-23,0,0.434,0.00442,0.434,0.842,0.000142,0.308,-4.468,0.038,169.935,4,0.838
53,Phantom Limb,The Shins,2007-01-23,0,0.515,0.000585,0.515,0.871,0.0,0.0877,-4.113,0.0367,119.869,4,0.498
54,The Celibate Life,The Shins,2001-06-19,0,0.371,0.57,0.371,0.513,1.37e-05,0.375,-7.495,0.0294,100.893,3,0.545
55,Know Your Onion!,The Shins,2001-06-19,0,0.487,0.53,0.487,0.614,7.2e-05,0.143,-6.771,0.0569,137.406,4,0.61
56,Rebellion (Lies),Arcade Fire,2004-09-14,0,0.404,0.00687,0.404,0.941,0.61,0.288,-5.653,0.0341,127.14,4,0.725
57,Safe And Sound,Capital Cities,2014-01-01,0,0.656,0.000209,0.656,0.818,0.00432,0.104,-4.841,0.0319,117.945,5,0.765
58,Oh Oh Oh Oh Oh Oh Oh Oh,Say Hi,2009-03-03,0,0.725,0.239,0.725,0.672,0.137,0.0883,-9.95,0.0695,150.051,4,0.92
59,Harper Lee,Little Green Cars,2013-03-26,0,0.47,0.0422,0.47,0.697,4.77e-05,0.0939,-4.329,0.0323,129.675,4,0.402
60,We Are Waves,Beat!Beat!Beat!,2011-08-05,0,0.796,0.676,0.796,0.669,5.38e-05,0.145,-6.258,0.047,118.938,4,0.653
61,Too Short To Bide,Beat!Beat!Beat!,2011-08-05,0,0.621,0.266,0.621,0.8,2.17e-06,0.0881,-5.413,0.03,93.004,4,0.618
62,Deep Set Eyes,Reputante,2013-11-12,0,0.368,0.000212,0.368,0.809,0.294,0.348,-7.754,0.0365,170.039,4,0.792
63,Grítame,Various Artists,2013-11-18,0,0.437,0.000221,0.437,0.908,0.00886,0.146,-5.221,0.06,127.964,4,0.567
64,Here It Goes Again,OK Go,2005-01-01,66,0.537,0.000342,0.537,0.882,9.06e-05,0.12,-2.306,0.0403,145.729,4,0.81
65,This Too Shall Pass,OK Go,2010-10-15,42,0.43,5.07e-05,0.43,0.669,0.0105,0.121,-3.398,0.0448,160.001,4,0.417
